Species,ShortName,MeanTempAnnual_n,MeanTempAnnual_mean,MeanTempAnnual_se,MeanTempAnnual_median,MeanTempAnnual_q10,MeanTempAnnual_q90,TempSeasonality_n,TempSeasonality_mean,TempSeasonality_se,TempSeasonality_median,TempSeasonality_q10,TempSeasonality_q90,MeanTempWarmQuarter_n,MeanTempWarmQuarter_mean,MeanTempWarmQuarter_se,MeanTempWarmQuarter_median,MeanTempWarmQuarter_q10,MeanTempWarmQuarter_q90,MeanTempColdQuarter_n,MeanTempColdQuarter_mean,MeanTempColdQuarter_se,MeanTempColdQuarter_median,MeanTempColdQuarter_q10,MeanTempColdQuarter_q90,PrecipAnnual_n,PrecipAnnual_mean,PrecipAnnual_se,PrecipAnnual_median,PrecipAnnual_q10,PrecipAnnual_q90
Viburnum acerifolium,acerifoliu,21821,6.975709363711383,2.2313683977408203e-4,7.962500095367432,0.3958333432674408,13.070833206176758,21821,9.4396996158778,8.000212645797553e-5,9.24777587890625,7.6097564697265625,11.508458251953124,21821,18.346239851253245,1.8622220555736995e-4,19.516666412353516,12.666666984558105,23.299999237060547,21821,-4.862619336465144,2.933618031881361e-4,-3.7166666984558105,-14.649999618530273,2.4166667461395264,21821,1002.5698638925805,0.017670024927126046,1036,487,1293
Viburnum acutifolium,acutifoliu,927,16.13364344970308,0.0036068944701932656,15.612500190734863,12.523333168029787,21.527499771118162,927,1.5360909366299034,4.6133756380935194e-4,1.519637908935547,0.9380906524658204,2.0800258178710935,927,17.775458428466205,0.003692543174594247,17.350000381469727,13.97666702270508,22.870000076293945,927,14.039104591295557,0.0036315981005802384,13.133333206176758,10.583333206176759,19.266666412353516,927,1404.799352750809,0.5731346282562125,1203,1020.4,2291.3999999999996
Viburnum adenophorum,adenophoru,1280,9.401057929266244,0.002436275307246866,9.058333396911621,6.754166603088379,13.574999809265137,1280,4.887805018424988,0.0015673844634860642,3.715087585449219,3.2344821166992186,8.141116943359375,1280,15.007942633703351,0.0033099175920745967,13.483333587646484,10.75,21.700000762939453,1280,2.9753906287660357,0.002915144788386939,2.566666603088379,-1.5666667222976685,7.800000190734863,1280,2598.3125,1.167649032373259,3107,706,4326
Viburnum amplificatum,amplificat,19,24.17214930684943,0.2305024660302442,26.179166793823242,15.215000343322753,26.98166732788086,19,0.35052228726838763,0.004154565102346922,0.32853557586669924,0.2644305648803711,0.4205289535522461,19,24.561403374922904,0.23186581730546993,26.616666793823242,15.603333282470704,27.389999771118163,19,23.69912288063451,0.22851293051661803,25.600000381469727,14.843333625793456,26.64000015258789,19,2105.1052631578946,12.744426415454067,2129,1918.2,2386.8
Viburnum amplifolium,amplifoliu,1,15.816666603088379,NA,15.816666603088379,15.816666603088379,15.816666603088379,1,4.821746826171875,NA,4.821746826171875,4.821746826171875,4.821746826171875,1,20.96666717529297,NA,20.96666717529297,20.96666717529297,20.96666717529297,1,9.183333396911621,NA,9.183333396911621,9.183333396911621,9.183333396911621,1,1434,NA,1434,1434,1434
Viburnum anabaptista,anabaptist,53,14.92311321114594,0.02911899336201629,14.637499809265137,13.879166603088379,16.761667251586914,53,0.29950652176479126,0.0019109622630670313,0.2797117233276367,0.2588358459472656,0.34513945770263676,53,15.261949629153845,0.029468536156413493,14.949999809265137,14.199999809265137,17.09000015258789,53,14.566980973729548,0.028145396225533654,14.350000381469727,13.566666603088379,16.36333312988281,53,2390.132075471698,4.205392390729503,2413,2305.2,2536
Viburnum anamensis,anamensis,1,19.741666793823242,NA,19.741666793823242,19.741666793823242,19.741666793823242,1,1.9965692138671876,NA,1.9965692138671876,1.9965692138671876,1.9965692138671876,1,21.75,NA,21.75,21.75,21.75,1,16.96666717529297,NA,16.96666717529297,16.96666717529297,16.96666717529297,1,1983,NA,1983,1983,1983
Viburnum atrocyaneum,atrocyaneu,46,14.253442017928414,0.14965318972334848,12.620833396911621,7.012499809265137,27.141666412353516,46,4.884974949048913,0.04037164049399433,4.9140087890625,2.45730224609375,6.19070068359375,46,19.77971018915591,0.1329058733395056,18.049999237060547,15.166666984558105,29.91666603088379,46,7.863768105921538,0.17965778974686228,6.0333333015441895,-3.6999998092651367,21.950000762939453,46,1241.0869565217392,13.823361188856785,1179,726,1595
Viburnum australe,australe,4,19.883333683013916,0.6814650454764569,20.197916984558105,17.262500190734862,22.252500534057617,4,5.1200830841064455,0.10238069162671433,5.0594110107421875,4.769585479736328,5.519118347167969,4,25.59999990463257,0.62547201579672,25.94166660308838,23.260000038146973,27.666666412353514,4,13.112499952316284,0.7427845804814549,13.316666603088379,10.268333148956298,15.793333435058592,4,403.75,46.24994369365942,345.5,271.9,582.2
Viburnum awabuki,awabuki,3145,18.015494129047486,0.0012256145380870483,17.391666412353516,13.793333053588867,22.84833335876465,3145,5.486491714016622,6.802632371762855e-4,5.140059204101562,2.986004760742188,7.847943115234375,3145,24.569660820528888,8.95876023761339e-4,24.799999237060547,21.289999389648436,27.64333305358887,3145,11.129623728426727,0.001848584066918617,11.649999618530273,4.33000001907349,18.483333587646484,3145,2004.0413354531001,0.2059467089275677,1848,1285.4,2947.399999999996
