NSSitesModel,nParam,lnL,ChiSq,df,PValue,AIC,Parameter,Value
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,K,1.11527
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,p_0,0.93084
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,p_1,0.04459
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,p_2,0.02457
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,w_0,0.01956
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,w_1,8.09236
3,299,-3311.049536,413.53831200000013,4,3.302764417076623e-88,7220.099072,w_2,32.50636
7,296,-3603.947333,NA,NA,NA,7236.28654,K,0.97023
7,296,-3603.947333,NA,NA,NA,7236.28654,p,0.005
7,296,-3603.947333,NA,NA,NA,7236.28654,q,0.00503
7,296,-3603.947333,NA,NA,NA,7236.28654,p_0,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_1,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_2,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_3,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_4,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_5,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_6,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_7,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_8,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,p_9,0.1
7,296,-3603.947333,NA,NA,NA,7236.28654,w_0,0
7,296,-3603.947333,NA,NA,NA,7236.28654,w_1,0
7,296,-3603.947333,NA,NA,NA,7236.28654,w_2,0
7,296,-3603.947333,NA,NA,NA,7236.28654,w_3,0
7,296,-3603.947333,NA,NA,NA,7236.28654,w_4,0
7,296,-3603.947333,NA,NA,NA,7236.28654,w_5,1
7,296,-3603.947333,NA,NA,NA,7236.28654,w_6,1
7,296,-3603.947333,NA,NA,NA,7236.28654,w_7,1
7,296,-3603.947333,NA,NA,NA,7236.28654,w_8,1
7,296,-3603.947333,NA,NA,NA,7236.28654,w_9,1
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,K,1.06303
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,p_0,0.8794
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,p_1,0.07441
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,p_2,0.04619
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,w_0,0
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,w_1,1
2,298,-3322.14327,192.85782199999994,2,1.3226838680524753e-42,7240.28654,w_2,18.90454
8,298,-3322.455457,281.49187600000005,2,7.495761786112534e-62,7240.910914,K,1.06732
8,298,-3322.455457,281.49187600000005,2,7.495761786112534e-62,7240.910914,p0,0.9545
8,298,-3322.455457,281.49187600000005,2,7.495761786112534e-62,7240.910914,p,0.005
8,298,-3322.455457,281.49187600000005,2,7.495761786112534e-62,7240.910914,q,0.04879
8,298,-3322.455457,281.49187600000005,2,7.495761786112534e-62,7240.910914,(p1,0.0455
