Clade,Node,Taxa
succotinus,194,brevipes
succotinus,194,corylifoli
succotinus,194,dilatatum
succotinus,194,parvifoliu
succotinus,194,flavescens
succotinus,194,ichangense
succotinus,194,adenophoru
succotinus,194,wrightii
succotinus,194,anamensis
succotinus,194,sempervire
succotinus,194,brachyandr
succotinus,194,erosum
succotinus,194,phlebotric
succotinus,194,setigerum
succotinus,194,fordiae
succotinus,194,formosanum
succotinus,194,luzonicum
succotinus,194,tashiroi
succotinus,194,japonicum
succotinus,194,lancifoliu
succotinus,194,integrifol
succotinus,194,betulifoli
succotinus,194,hupehense
succotinus,194,lobophyllu
succotinus,194,melanocarp
succotinus,194,mullaha
succotinus,194,foetidum
lobata,220,acerifoliu
lobata,220,orientale
lobata,220,kansuense
sambucina,223,hispidulum
sambucina,223,vernicosum
sambucina,223,glaberrimu
sambucina,223,beccarii
sambucina,223,inopinatum
sambucina,223,sambucinum
sambucina,223,leiocarpum
sambucina,223,ternatum
coriacea,230,coriaceum
coriacea,230,hebanthum
coriacea,230,cylindricu
opulus,232,opulus
opulus,232,sargentii
opulus,232,trilobum
opulus,232,edule
oreinotinus,154,anabaptist
oreinotinus,154,subsessile
oreinotinus,154,tinoides
oreinotinus,154,undulatum
oreinotinus,154,glabratum
oreinotinus,154,jamesonii
oreinotinus,154,lasiophyll
oreinotinus,154,hallii
oreinotinus,154,pichinchen
oreinotinus,154,divaricatu
oreinotinus,154,stipitatum
oreinotinus,154,obtectum
oreinotinus,154,triphyllum
oreinotinus,154,seemenii
oreinotinus,154,toronis
oreinotinus,154,ayavacense
oreinotinus,154,obtusatum
oreinotinus,154,disjunctum
oreinotinus,154,stellato-t
oreinotinus,154,villosum
oreinotinus,154,jucundum
oreinotinus,154,lautum
oreinotinus,154,acutifoliu
oreinotinus,154,sulcatum
oreinotinus,154,venustum
oreinotinus,154,blandum
oreinotinus,154,microphyll
oreinotinus,154,discolor
oreinotinus,154,microcarpu
oreinotinus,154,ciliatum
oreinotinus,154,stenocalyx
oreinotinus,154,loeseneri
dentata,185,dentatum
dentata,185,recognitum
dentata,185,scabrellum
mollotinus,187,molle
mollotinus,187,rafinesqui
mollotinus,187,bracteatum
mollotinus,187,australe
mollotinus,187,ellipticum
tinus,235,atrocyaneu
tinus,235,calvum
tinus,235,cinnamomif
tinus,235,propinquum
tinus,235,davidii
tinus,235,rugosum
tinus,235,tinus
tinus,235,treleasei
solenotinus,247,erubescens
solenotinus,247,oliganthum
solenotinus,247,brevitubum
solenotinus,247,brachybotr
solenotinus,247,henryi
solenotinus,247,chingii
solenotinus,247,yunnanense
solenotinus,247,foetens
solenotinus,247,grandiflor
solenotinus,247,farreri
solenotinus,247,suspensum
solenotinus,247,taitoense
solenotinus,247,subalpinum
solenotinus,247,awabuki
solenotinus,247,odoratissi
solenotinus,247,sieboldii
