branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
acerifoliu	0	7.0173	6.0051	0.0101	yes	no
acutifoliu	1	0.0000	0.0000	0.0000	yes	no
adenophoru	2	0.0000	0.0023	0.0000	yes	no
amplificat	3	2.0131	2.0146	0.0289	yes	no
amplifoliu	4	1.0064	1.0023	0.0084	yes	no
anabaptist	5	0.0000	0.0000	0.0000	yes	no
anamensis	6	0.0000	0.0000	0.0000	yes	no
atrocyaneu	7	0.0000	0.0000	0.0000	yes	no
australe	8	1.0000	0.0000	0.0172	yes	no
awabuki	9	0.0000	0.0000	0.0000	yes	no
ayavacense	10	0.0000	0.0000	0.0000	yes	no
beccarii	11	0.0000	1.9998	0.0000	yes	no
betulifoli	12	0.0000	0.0000	0.0000	yes	no
bitchiuens	13	0.0000	0.0000	0.0000	yes	no
blandum	14	0.0000	2.0000	0.0000	yes	no
brachyandr	15	0.0000	0.0000	0.0000	yes	no
brachybotr	16	0.0000	1.0000	0.0000	yes	no
bracteatum	17	0.0000	0.0000	0.0000	yes	no
brevipes	18	1.0000	0.0000	0.0000	yes	no
brevitubum	19	0.0000	0.0000	0.0000	yes	no
buddleifol	20	0.0000	0.0000	0.0000	yes	no
burejaetic	21	0.0000	0.0000	0.0000	yes	no
calvum	22	0.0000	0.0000	0.0000	yes	no
Node110	23	0.0000	0.0000	0.0000	yes	no
carlesii	24	0.0000	0.0000	0.0000	yes	no
Node100	25	0.0000	1.0000	0.0000	yes	no
cassinoide	26	0.0006	1.0009	0.0037	yes	no
chingii	27	0.0000	0.0000	0.0000	yes	no
chinshanen	28	0.0000	0.0000	0.0000	yes	no
Node94	29	0.0000	0.0000	0.0000	yes	no
ciliatum	30	0.0000	0.0000	0.0000	yes	no
cinnamomif	31	0.0000	1.0000	0.0000	yes	no
Node109	32	1.0000	1.0000	0.0000	yes	no
clemensiae	33	2.0000	4.9615	0.0091	yes	no
colebrooke	34	0.0000	0.0000	0.0000	yes	no
congestum	35	0.0000	1.0000	0.0000	yes	no
Node99	36	0.0000	0.0000	0.0000	yes	no
coriaceum	37	1.0000	0.0000	0.0000	yes	no
corylifoli	38	0.0000	0.4215	0.0000	yes	no
Node140	39	0.0000	0.5764	0.0000	yes	no
cotinifoli	40	0.0000	0.0000	0.0000	yes	no
cylindricu	41	0.0000	0.0000	0.0000	yes	no
davidii	42	0.0000	0.0000	0.0000	yes	no
