accession,gb_species,species
HQ591753,Viburnum orientale,orientale
HQ591735,Viburnum kansuense,kansuense
AF446927,Viburnum acerifolium,acerifolium
JQ805443,Viburnum villosum,villosum
JQ805441,Viburnum venustum,venustum
KP281827,Viburnum undulatum,undulatum
HQ591776,Viburnum triphyllum,triphyllum
HQ591774,Viburnum toronis,toronis
KP281826,Viburnum tinoides,tinoides
MN987632,Viburnum sulcatum,sulcatum
KP281825,Viburnum subsessile,subsessile
JQ805428,Viburnum sp. WLC-2012b,stipitatum
HQ591767,Viburnum stenocalyx,stenocalyx
KF019789,Viburnum stellatotomentosum,stellato-tomentosum
JQ805426,Viburnum seemenii,seemenii
JQ805420,Viburnum pichinchense,pichinchense
MN937431,Viburnum obtusatum,obtusatum
JQ805415,Viburnum sp. WLC-2012a,obtectum
KP281823,Viburnum microphyllum,microphyllum
JQ805414,Viburnum microcarpum,microcarpum
HQ591742,Viburnum loeseneri,loeseneri
HQ591738,Viburnum lautum,lautum
KP281822,Viburnum lasiophyllum,lasiophyllum
HQ591734,Viburnum jucundum,jucundum
HQ591732,Viburnum jamesonii,jamesonii
JQ805410,Viburnum hallii,hallii
KP281821,Viburnum glabratum,glabratum
JQ805404,Viburnum divaricatum,divaricatum
KF019788,Viburnum disjunctum,disjunctum
JQ805402,Viburnum discolor,discolor
JQ805401,Viburnum ciliatum,ciliatum
HQ591706,Viburnum blandum,blandum
JQ805399,Viburnum ayavacense,ayavacense
JQ805393,Viburnum australe,australe
KP281820,Viburnum anabaptista,anabaptista
MN987623,Viburnum acutifolium,acutifolium
KP281824,Viburnum scabrellum,scabrellum
JQ805387,Viburnum dentatum var. lucidum,recognitum
HQ591718,Viburnum dentatum,dentatum
HQ591758,Viburnum rafinesquianum,rafinesquianum
HQ591747,Viburnum molle,molle
HQ591722,Viburnum ellipticum,ellipticum
HQ591708,Viburnum bracteatum,bracteatum
HQ591775,Viburnum opulus var. americanum,trilobum
HQ591762,Viburnum opulus var. sargentii,sargentii
HQ591752,Viburnum opulus,opulus
HQ591720,Viburnum edule,edule
MN937440,Viburnum wrightii,wrightii
KF019806,Viburnum tashiroi,tashiroi
MN937436,Viburnum setigerum,setigerum
MN937435,Viburnum sempervirens,sempervirens
MN937432,Viburnum propinquum,propinquum
MN937415,Viburnum phlebotrichum,phlebotrichum
