verbatim_name,RecordCount
Viburnum acerifolium,17947
Viburnum acutifolium,309
Viburnum adenophorum,257
Viburnum amplificatum,21
Viburnum amplifolium,1
Viburnum anabaptista,53
Viburnum anamensis,1
Viburnum atrocyaneum,23
Viburnum australe,4
Viburnum awabuki,662
Viburnum ayavacense,36
Viburnum beccarii,8
Viburnum betulifolium,258
Viburnum bitchiuense,780
Viburnum blandum,50
Viburnum brachyandrum,13
Viburnum brachybotryum,9
Viburnum bracteatum,24
Viburnum brevipes,4159
Viburnum brevitubum,6
Viburnum buddleifolium,3
Viburnum burejaeticum,168
Viburnum calvum,23
Viburnum carlesii,780
Viburnum cassinoides,3109
Viburnum chingii,39
Viburnum chinshanense,8
Viburnum ciliatum,42
Viburnum cinnamomifolium,8
Viburnum clemensiae,22
Viburnum colebrookeanum,7
Viburnum congestum,23
Viburnum coriaceum,313
Viburnum corylifolium,6
Viburnum cotinifolium,86
Viburnum cylindricum,313
Viburnum davidii,99
Viburnum dentatum,7688
Viburnum dilatatum,4159
Viburnum discolor,27
Viburnum disjunctum,36
Viburnum divaricatum,16
Viburnum edule,4059
Viburnum elatum,207
Viburnum ellipticum,172
Viburnum erosum,6429
Viburnum erubescens,227
Viburnum farreri,93
Viburnum flavescens,257
Viburnum foetens,6
Viburnum foetidum,521
Viburnum fordiae,11
Viburnum formosanum,150
Viburnum furcatum,1201
Viburnum glaberrimum,8
Viburnum glabratum,7
Viburnum glomeratum,18
Viburnum grandiflorum,66
Viburnum hallii,218
Viburnum hanceanum,8
Viburnum hebanthum,314
Viburnum henryi,8
Viburnum hispidulum,15
Viburnum hupehense,257
Viburnum ichangense,2742
Viburnum inopinatum,18
Viburnum integrifolium,133
Viburnum jamesonii,37
Viburnum japonicum,295
Viburnum jucundum,168
Viburnum kansuense,32
Viburnum lancifolium,1
Viburnum lantana,142291
Viburnum lantanoides,10456
Viburnum lasiophyllum,25
Viburnum lautum,309
Viburnum leiocarpum,10
Viburnum lentago,10694
Viburnum lepidotulum,65
Viburnum lobophyllum,257
Viburnum loeseneri,36
Viburnum lutescens,80
Viburnum luzonicum,1161
Viburnum macrocephalum,55
Viburnum maculatum,1
Viburnum melanocarpum,2
Viburnum microcarpum,131
Viburnum microphyllum,309
Viburnum molle,48
Viburnum mongolicum,19
Viburnum mullaha,75
Viburnum nervosum,120
Viburnum nudum,2282
Viburnum obovatum,846
Viburnum obtectum,32
Viburnum obtusatum,22
Viburnum odoratissimum,905
Viburnum oliganthum,46
Viburnum opulus,198111
Viburnum orientale,8
Viburnum parvifolium,1242
Viburnum phlebotrichum,808
Viburnum pichinchense,228
Viburnum plicatum,4957
Viburnum propinquum,200
Viburnum prunifolium,5601
Viburnum punctatum,2347
Viburnum pyramidatum,1
Viburnum rafinesquianum,2500
Viburnum recognitum,1451
Viburnum rhytidophyllum,16785
Viburnum rufidulum,4133
Viburnum rugosum,97711
Viburnum sambucinum,110
Viburnum sargentii,1242
Viburnum scabrellum,3260
Viburnum schensianum,15
Viburnum seemenii,172
Viburnum sempervirens,41
Viburnum setigerum,347
Viburnum sieboldii,1041
Viburnum stellato-tomentosum,32
Viburnum stenocalyx,86
Viburnum stipitatum,23
Viburnum subalpinum,17
Viburnum subsessile,4
Viburnum sulcatum,10
Viburnum suspensum,105
Viburnum sympodiale,66
Viburnum taitoense,173
Viburnum taiwanianum,627
Viburnum tashiroi,8
Viburnum ternatum,5
Viburnum tinoides,361
Viburnum tinus,97711
Viburnum toronis,252
Viburnum treleasei,1645
Viburnum trilobum,198111
Viburnum triphyllum,641
Viburnum undulatum,326
Viburnum urceolatum,627
Viburnum utile,15
Viburnum veitchii,18
Viburnum venustum,79
Viburnum vernicosum,9
Viburnum villosum,3392
Viburnum wrightii,2085
Viburnum yunnanense,2
