usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
3857121,Viburnum orientale Pall.,Viburnum orientale,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum orientale,6,7707728,220,946,4924416,2888580,3857121,FALSE,Magnoliopsida,Viburnum orientale,NA
3856659,Viburnum kansuense Batalin,Viburnum kansuense,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum kansuense,6,7707728,220,946,4924416,2888580,3856659,FALSE,Magnoliopsida,Viburnum kansuense,NA
2888596,Viburnum acerifolium L.,Viburnum acerifolium,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum acerifolium,6,7707728,220,946,4924416,2888580,2888596,FALSE,Magnoliopsida,Viburnum acerifolium,NA
7713626,Viburnum acerifolium Bong.,Viburnum acerifolium,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum edule,6,7707728,220,946,4924416,2888580,2888613,TRUE,Magnoliopsida,Viburnum acerifolium,2888613
8887732,Viburnum acerifolium Gueldenst.,Viburnum acerifolium,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum orientale,6,7707728,220,946,4924416,2888580,3857121,TRUE,Magnoliopsida,Viburnum acerifolium,3857121
9031273,Viburnum acerifolium Gueldenst. ex Ledeb.,Viburnum acerifolium,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum orientale,6,7707728,220,946,4924416,2888580,3857121,TRUE,Magnoliopsida,Viburnum acerifolium,3857121
7653512,Viburnum villosum Sw.,Viburnum villosum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum villosum,6,7707728,220,946,4924416,2888580,7653512,FALSE,Magnoliopsida,Viburnum villosum,NA
7387641,Viburnum villosum Raf.,Viburnum villosum,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum dentatum,6,7707728,220,946,4924416,2888580,2888594,TRUE,Magnoliopsida,Viburnum villosum,2888594
7272653,Viburnum villosum Ridl.,Viburnum villosum,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum sambucinum,6,7707728,220,946,4924416,2888580,3856151,TRUE,Magnoliopsida,Viburnum villosum,7478925
3856927,Viburnum venustum Morton,Viburnum venustum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Dipsacales,Viburnaceae,Viburnum,Viburnum venustum,6,7707728,220,946,4924416,2888580,3856927,FALSE,Magnoliopsida,Viburnum venustum,NA
