Species,Biome
acerifolium,Temperate
acutifolium,Cloud
adenophorum,Lucidophyllous
amplificatum,Tropical
amplifolium,Lucidophyllous
anabaptista,Cloud
anamensis,Lucidophyllous
atrocyaneum,Lucidophyllous
australe,Lucidophyllous
awabuki,Lucidophyllous
ayavacense,Cloud
beccarii,Tropical
betulifolium,Temperate
bitchiuense,Temperate
blandum,Cloud
brachyandrum,Lucidophyllous
brachybotryum,Lucidophyllous
bracteatum,Temperate
brevipes,Lucidophyllous
brevipes,Temperate
brevitubum,Lucidophyllous
brevitubum,Temperate
buddleifolium,Temperate
burejaeticum,Temperate
calvum,Lucidophyllous
calvum,Temperate
carlesii,Temperate
cassinoides,Temperate
caudatum,Cloud
chingii,Lucidophyllous
chingii,Temperate
chinshanense,Lucidophyllous
chinshanense,Temperate
chunii,Lucidophyllous
ciliatum,Cloud
cinnamomifolium,Lucidophyllous
clemensiae,Tropical
colebrookeanum,Tropical
congestum,Lucidophyllous
congestum,Temperate
coriaceum,Tropical
corylifolium,Lucidophyllous
corymbiflorum,Lucidophyllous
costaricanum,Cloud
cotinifolium,Temperate
cylindricum,Lucidophyllous
dalzielii,Lucidophyllous
dalzielii,Temperate
davidii,Lucidophyllous
dentatum,Temperate
dilatatum,Temperate
discolor,Cloud
disjunctum,Cloud
divaricatum,Cloud
edule,Temperate
elatum,Cloud
ellipticum,Lucidophyllous
erosum,Temperate
erubescens,Temperate
farreri,Temperate
flavescens,Temperate
foetens,Temperate
foetidum,Lucidophyllous
fordiae,Lucidophyllous
formosanum,Lucidophyllous
furcatum,Temperate
garrettii,Tropical
garrettii,Lucidophyllous
glaberrimum,Tropical
glabratum,Cloud
glomeratum,Temperate
grandiflorum,Temperate
hainanense,Lucidophyllous
hallii,Cloud
hanceanum,Lucidophyllous
hartwegii,Cloud
hebanthum,Tropical
henryi,Lucidophyllous
hispidulum,Tropical
hondurense,Cloud
hupehense,Temperate
ichangense,Temperate
inopinatum,Lucidophyllous
integrifolium,Lucidophyllous
jamesonii,Cloud
japonicum,Lucidophyllous
jucundum,Cloud
junghunii,Lucidophyllous
kansuense,Temperate
koreanum,Temperate
lancifolium,Lucidophyllous
lantana,Temperate
lantanoides,Temperate
lasiophyllum,Cloud
laterale,Lucidophyllous
lautum,Cloud
leiocarpum,Lucidophyllous
lentago,Temperate
lepidotulum,Tropical
lobophyllum,Temperate
loeseneri,Cloud
longipedunculatum,Lucidophyllous
longiradiatum,Lucidophyllous
longiradiatum,Temperate
lutescens,Tropical
luzonicum,Lucidophyllous
macrocephalum,Temperate
maculatum,Temperate
melanocarpum,Temperate
microcarpum,Cloud
microphyllum,Cloud
molle,Temperate
mongolicum,Temperate
mullaha,Temperate
nervosum,Temperate
nudum,Lucidophyllous
obovatum,Lucidophyllous
obtectum,Cloud
obtusatum,Cloud
odoratissimum,Lucidophyllous
oliganthum,Temperate
omeiense,Lucidophyllous
omeiense,Temperate
opulus,Temperate
orientale,Temperate
parvifolium,Lucidophyllous
phlebotrichum,Temperate
pichinchense,Cloud
plicatum,Temperate
propinquum,Lucidophyllous
prunifolium,Temperate
punctatum,Tropical
pyramidatum,Lucidophyllous
rafinesquianum,Temperate
recognitum,Temperate
rhytidophyllum,Temperate
rigidum,Lucidophyllous
rufidulum,Lucidophyllous
rufidulum,Temperate
sambucinum,Tropical
sargentii,Temperate
scabrellum,Lucidophyllous
schensianum,Temperate
seemenii,Cloud
sempervirens,Lucidophyllous
setigerum,Temperate
shweliense,Lucidophyllous
shweliense,Temperate
sieboldii,Temperate
squamulosum,Lucidophyllous
stellato_tomentosum,Cloud
stenocalyx,Cloud
stipitatum,Cloud
subalpinum,Temperate
subsessile,Cloud
sulcatum,Cloud
suspensum,Lucidophyllous
sympodiale,Temperate
taitoense,Lucidophyllous
taiwanianum,Lucidophyllous
tashiroi,Lucidophyllous
tengyuehense,Lucidophyllous
tengyuehense,Temperate
ternatum,Lucidophyllous
tinoides,Cloud
tinus,Lucidophyllous
toronis,Cloud
treleasei,Lucidophyllous
trilobum,Temperate
triphyllum,Cloud
triplinerve,Lucidophyllous
undulatum,Cloud
urceolatum,Temperate
utile,Temperate
veitchii,Temperate
venustum,Cloud
vernicosum,Tropical
villosum,Cloud
wardii,Lucidophyllous
wrightii,Temperate
yunnanense,Lucidophyllous
